Plot,Tag,Old tag,depth1,depth2,depth3,depth4,average,radius,Volume_cylinder,Volume_cap,Volume_tubes,Volume (cm3),Volume
E5,892,,5,4.9,5.8,5,5.175,5.08,419.5537927,19.79203372,28.88,468.2258264,0.4682258264
E5,893,,4.9,5,5.2,5.4,5.125,5.08,415.5001329,19.79203372,28.88,464.1721666,0.4641721666
E5,895,,2.8,2.5,3.5,3.5,3.075,5.08,249.3000797,19.79203372,28.88,297.9721134,0.2979721134
E5,903,,4.8,5.1,5,4.8,4.925,5.08,399.2854935,19.79203372,28.88,447.9575272,0.4479575272
E5,905,,3.6,3.6,4.2,4.2,3.9,5.08,316.185467,19.79203372,28.88,364.8575007,0.3648575007
F1,236,,3.1,3,4,4,3.525,5.08,285.7830182,19.79203372,28.88,334.4550519,0.3344550519
F1,933,,5.3,4.9,5,5,5.05,5.08,409.4196431,19.79203372,28.88,458.0916768,0.4580916768
G1,153,,5.2,5.3,5.3,5.2,5.25,5.08,425.6342824,19.79203372,28.88,474.3063162,0.4743063162
G1,165,,5,4.6,5.2,5.3,5.025,5.08,407.3928132,19.79203372,28.88,456.0648469,0.4560648469
G1,175,,5.5,5,5.4,5.4,5.325,5.08,431.7147722,19.79203372,28.88,480.3868059,0.4803868059
G1,176,,5,4.9,5.1,5.1,5.025,5.08,407.3928132,19.79203372,28.88,456.0648469,0.4560648469
H1,302,,4.9,5,5.2,5.2,5.075,5.08,411.446473,19.79203372,28.88,460.1185067,0.4601185067
H1,309,,5,4.9,5.1,5.3,5.075,5.08,411.446473,19.79203372,28.88,460.1185067,0.4601185067
H1,318,,4.8,4.9,4,3.8,4.375,5.08,354.6952354,19.79203372,28.88,403.3672691,0.4033672691
