UniqueID,LM.flux,LM.C0,LM.Ct,LM.slope,LM.MAE,LM.RMSE,LM.AICc,LM.SE,LM.se.rel,LM.r2,LM.p.val,HM.flux,HM.C0,HM.Ci,HM.slope,HM.MAE,HM.RMSE,HM.AICc,HM.SE,HM.se.rel,HM.r2,HM.k,C0,Ct,MDF,prec,flux.term,nb.obs,k.max,k.mult,g.fact,HM.diagnose,LM.diagnose,best.flux,model,quality.check,HM.score,LM.score,RMSE.lim,MAE.lim,SE.lim,g.limit,g.reverse,k.ratio.lim,p.val.lim,MDF.lim,warn.nb.obs
20200615_1-1-U_2,-0.6500103984111754,1991.6077148139484,1963.2460637327233,-0.10582705627322775,2.274274245177207,2.9560405723913012,1362.6016674456846,0.014229038534674531,-2.1890478320738658,0.8853912841266118,9.1371574476676045e-129,-0.6544609413561762,1991.6366819317598,0,-0.1065516413873094,2.276525749218825,2.959667785378132,1365.3268097700416,0.048574374683890684,-7.4220433358841404,0.8851098737675216,5.349953751803825e-5,1989.47,1961.9,0.02055009424243537,0.9,6.14219483468346,271,0.11758561808136417,1,1.0068468796128174,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),-0.6544609413561762,HM,AICc,1,3,0.9,0.9,0.05467110653077083,2,0.5,1,0.05,0.021,60
20200615_1-2-U_1,-1.6444587747826134,1980.3341881265023,1925.1841725555687,-0.2677185221889986,2.036278831313348,2.5310090556078886,982.7011895965362,0.0181427842869314,-1.103267808542647,0.9754202856720744,5.788905399981395e-168,-1.6681096177807793,1980.4670637370518,67.7754218027919,-0.27156888854240874,2.0392182504312943,2.5331099112193303,985.1257430549273,0.07336112352427254,-4.397859873373955,0.9753797703712973,1.419825771119999e-4,1980.08,1927.23,0.02670648523480537,0.9,6.142491604005236,208,0.2974650246544429,1,1.0143821440590948,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),-1.6681096177807793,HM,AICc,1,3,0.9,0.9,0.06240377207533828,2,0.5,1,0.05,0.027,60
20200615_1-3-U_0,-1.0027354523145358,1983.0426169785578,1945.3504996197335,-0.16316933921569007,2.291536509373125,2.8806604914804095,1160.3672959777518,0.017396601227561818,-1.7349143472893676,0.9347092968379284,4.293216341179002e-139,-1.0119466745182,1983.0944894205097,0,-0.16466822811691678,2.2997335255145255,2.889519582536153,1163.8688533822883,0.06575039101295478,-6.497416580202642,0.9343071382821778,8.303599702152131e-5,1981.17,1948.73,0.023839785292916717,0.9,6.1453668755074204,233,0.1812992657952112,1,1.0091860940813477,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),-1.0119466745182,HM,AICc,1,3,0.9,0.9,0.05896096038723766,2,0.5,1,0.05,0.024,60
20200615_1-4-U_10,-3.381543239865446,1955.9652508981783,1773.1584654327091,-0.5489693257221298,2.9753139946772,3.6601678958843773,1831.5250446101759,0.012795076977180029,-0.37837981269431153,0.9952265886949806,0,-3.546282252851926,1957.3601444258466,0,-0.57571352458765,3.2811734363478746,4.0374669844680335,1899.5025078244248,0.058652828770700355,-1.6539244365992485,0.9941921261255326,2.9412754021132086e-4,1952.82,1763.77,0.016598273227610254,0.9,6.159803620024249,336,0.609965917469033,1,1.048717109704336,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE),-3.381543239865446,LM,RMSE | MAE | SE | AICc,4,0,0.9,0.9,0.04909902530309829,2,0.5,1,0.05,0.017,60
20200615_1-5-U_11,-2.5871008954734314,1982.9964228376957,1835.1489227928676,-0.4200213069455344,3.4416104281821576,4.266107862803206,2043.513086501223,0.013729876584878344,-0.5307051073617219,0.9901278162938809,0,-2.6841696366100223,1983.829441318355,0,-0.43578062255130934,3.7349338803896432,4.585315414071566,2096.7904604087425,0.060725943033179255,-2.2623735178627986,0.9885958765267423,2.196663752815923e-4,1975.24,1831.28,0.015703984154438248,0.9,6.1594515627963355,355,0.46669034105059387,1,1.0375202765792508,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE),-2.5871008954734314,LM,RMSE | MAE | SE | AICc,4,0,0.9,0.9,0.04776704031908477,2,0.5,1,0.05,0.016,60
20200615_1-6-U_12,-2.5280467415483265,1963.3855326037349,1872.2826849807082,-0.41037318749111146,2.293109884432111,2.919401246942041,1126.7512815038035,0.018617992283747057,-0.7364575969961809,0.9879961003416318,2.278604497862626e-216,-2.8331648225568076,1965.1638202276401,1521.8132416909166,-0.459902445556939,2.205654693050107,2.809949822706982,1111.6291400481628,0.07816970333721833,-2.759094801504474,0.9888793055673755,0.001037333586153975,1964.32,1874.99,0.024862441155955844,0.9,6.160360419753504,225,0.45597020832345714,1,1.1206932118753503,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),-2.8331648225568076,HM,,0,4,0.9,0.9,0.060000000000000005,2,0.5,1,0.05,0.025,60
20200616_2-1-U_1,-0.5689569757058256,1986.2316398876342,1963.8251339565536,-0.09336044137950218,2.317876571968006,2.9501945589605563,1221.493910045873,0.01658725631723028,-2.9153797256203395,0.829282726364378,1.0551555430583349e-94,-0.5718555191206635,1986.246142770544,0,-0.09383606485214034,2.3211676899222597,2.9545105229241617,1224.2720291845344,0.04607273301130368,-8.056708638949443,0.8287829392010212,4.724291860486725e-5,1979.29,1961.27,0.022758414190495336,0.9,6.094197577677084,243,0.10373382375500241,1,1.005094486118642,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),-0.5718555191206635,HM,AICc | Intercept,1,3,0.9,0.9,0.057735026918962574,2,0.5,1,0.05,0.023,60
20200616_2-2-U_4,-0.7671855367198848,1996.555190623702,1960.5722140271635,-0.12581460348440004,1.4316414919380647,1.825675308720713,1174.157754260885,0.007923057498445544,-1.0327433351156117,0.9701954284501813,3.326181617992985e-221,-0.7739970435789724,1996.605212747427,0,-0.12693165665288317,1.4362362884466997,1.8322989217980596,1178.3075979429607,0.028513339057187788,-3.683908006333169,0.9699787852460005,6.3573737984095e-5,1993.33,1958.38,0.01912185260434473,0.9,6.097746330496597,289,0.1397940038715556,1,1.0088785652662462,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),-0.7739970435789724,HM,AICc,1,3,0.9,0.9,0.052941176470588235,2,0.5,1,0.05,0.019,60
20200616_2-3-U_3,-2.3920802532836194,1998.5618138358384,1864.3121392691921,-0.3925429080896092,4.728723719889475,5.638958728733211,2178.630573013958,0.018738958228951302,-0.7833749809701513,0.9793247302922028,3.322920538415575e-291,-2.4698717243278185,1999.169212281351,0,-0.40530857104190393,5.023050912039987,5.9533933538937065,2218.118579283672,0.08119327317497123,-3.2873477749970266,0.9769562491726299,2.0273850184966897e-4,1984.22,1855.52,0.015989577922386932,0.9,6.093805808198574,345,0.4361587867662323,1,1.032520426911854,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE),-2.3920802532836194,LM,RMSE | MAE | SE | AICc | Intercept,4,0,0.9,0.9,0.0484543711852349,2,0.5,1,0.05,0.016,60
20200616_2-4-U_12,-1.9506752895351485,2005.9820945576819,1924.858962978916,-0.32064478884887704,2.359548997486158,2.8681826398152617,1267.1303568176597,0.014990355451640078,-0.7684700540402254,0.9852209370590622,8.846246519531569e-234,-1.9896289901411428,2006.2286891912447,0,-0.3270478540708023,2.4258525673909914,2.9414673896468075,1282.0620221041504,0.06154616571839106,-3.0933488616902904,0.9844562110243771,1.6301623829466944e-4,2003.47,1921.39,0.02155607019813649,0.9,6.083602033696298,255,0.3562719876098634,1,1.0199693412916904,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),-1.9896289901411428,HM,AICc,1,3,0.9,0.9,0.056360186197663455,2,0.5,1,0.05,0.022,60
